,Make,Price,Year,Kilometer,Fuel Type
0,Honda,505000,2017,87150,Petrol
1,Maruti Suzuki,450000,2014,75000,Diesel
2,Hyundai,220000,2011,67000,Petrol
3,Toyota,799000,2019,37500,Petrol
4,Toyota,1950000,2018,69000,Diesel
5,Maruti Suzuki,675000,2017,73315,Petrol
6,Mercedes-Benz,1898999,2015,47000,Petrol
7,BMW,2650000,2017,75000,Diesel
8,Skoda,1390000,2017,56000,Petrol
9,Nissan,575000,2015,85000,Diesel
10,Hyundai,591000,2017,20281,Petrol
11,Renault,459999,2018,22541,Petrol
12,Maruti Suzuki,1075000,2019,30672,Petrol
13,Tata,1695000,2019,20856,Diesel
14,Volkswagen,944999,2017,41417,Petrol
15,Maruti Suzuki,569000,2016,11471,Petrol
16,Maruti Suzuki,449000,2019,3583,Petrol
17,Maruti Suzuki,894999,2018,21365,Petrol
18,Maruti Suzuki,699000,2020,30777,Petrol
19,Hyundai,740000,2016,60125,Petrol
20,Maruti Suzuki,470000,2020,2169,Petrol
21,Volkswagen,765000,2015,60240,Petrol
22,Hyundai,589000,2018,13772,Petrol
23,Hyundai,999000,2019,27464,Petrol
24,Maruti Suzuki,370000,2019,47377,CNG
25,Maruti Suzuki,325000,2013,23086,Petrol
26,Hyundai,1175000,2019,36313,Petrol
27,Honda,351000,2014,39276,Petrol
28,Hyundai,551000,2015,47752,Petrol
29,Honda,819999,2018,27963,Petrol
30,Hyundai,990000,2020,24013,Petrol
31,Hyundai,925000,2016,66000,Diesel
32,Ford,535000,2015,28000,Petrol
33,Honda,860000,2013,67000,Petrol
34,Hyundai,145000,2009,72000,CNG
35,Tata,409000,2018,27069,Petrol
36,Tata,490000,2018,43000,Diesel
37,Toyota,1900000,2019,71000,Diesel
38,Mercedes-Benz,3850000,2017,45600,Diesel
39,Hyundai,1125000,2018,60000,Diesel
40,Mercedes-Benz,2300000,2014,105101,Diesel
41,Toyota,1095000,2016,45000,Petrol
42,Audi,1575000,2013,66000,Diesel
43,Mercedes-Benz,2400000,2010,34105,Petrol
44,Hyundai,525000,2015,68397,Petrol
45,Mahindra,625000,2015,65000,Diesel
46,Maruti Suzuki,605000,2019,27469,Petrol
47,Maruti Suzuki,412000,2016,41058,Petrol
48,Maruti Suzuki,625000,2016,51330,Diesel
49,Maruti Suzuki,511000,2015,45969,Petrol
50,Hyundai,1150000,2017,66602,Diesel
51,Hyundai,885000,2016,57983,Petrol
52,Renault,470000,2019,11183,Petrol
53,MG,1611000,2019,46301,Diesel
54,Tata,475000,2017,34867,Petrol
55,Toyota,865000,2015,43634,Diesel
56,BMW,3800000,2018,9512,Diesel
57,Jeep,2475000,2020,11293,Diesel
58,Mahindra,400000,2014,78000,Diesel
59,Honda,440000,2016,50374,Petrol
60,BMW,2800000,2017,15900,Petrol
61,Honda,645000,2017,64000,Petrol
62,Volkswagen,365000,2013,78000,Diesel
63,Maruti Suzuki,1044999,2021,24000,Petrol
64,Maruti Suzuki,515000,2019,40310,Petrol
65,Hyundai,455000,2015,69700,Petrol
66,BMW,1800000,2012,74073,Diesel
67,Toyota,3499000,2019,73000,Diesel
68,Honda,190000,2006,130000,Petrol
69,Audi,1250000,2012,50000,Diesel
70,Maruti Suzuki,775000,2021,24000,Petrol
71,Hyundai,825000,2021,43000,Diesel
72,Audi,2250000,2016,40500,Diesel
73,Honda,865000,2017,49013,Petrol
74,Ford,299000,2013,64983,Diesel
75,Honda,570000,2017,92270,Petrol
76,Volkswagen,385000,2013,65000,Petrol
77,Honda,350000,2014,110000,Diesel
78,Toyota,2345000,2017,47000,Petrol
79,Mahindra,1650000,2022,10000,Petrol
80,Mercedes-Benz,1100000,2011,51500,Diesel
81,Audi,2900000,2018,35000,Diesel
82,Maruti Suzuki,545000,2017,61518,Petrol
83,BMW,2990000,2018,34000,Diesel
84,Maruti Suzuki,615000,2017,36058,Petrol
85,Hyundai,890000,2016,88000,Diesel
86,Volkswagen,430000,2015,98112,Petrol
87,Mercedes-Benz,1650000,2013,58000,Diesel
88,Toyota,1599000,2015,92355,Petrol
89,Maruti Suzuki,691000,2019,16652,Petrol
90,Nissan,650000,2016,76584,Diesel
91,Maruti Suzuki,415000,2015,42500,CNG
92,Maruti Suzuki,669000,2016,70000,Diesel
93,BMW,2950000,2015,84700,Diesel
94,Mercedes-Benz,3900000,2018,83400,Diesel
95,Porsche,16200000,2022,2766,Petrol
96,Mercedes-Benz,5100000,2017,56000,Petrol
97,Hyundai,525000,2015,68766,Petrol
98,Hyundai,750000,2018,16339,Petrol
99,Honda,445000,2016,63882,Petrol
100,Toyota,493000,2012,28732,Petrol
101,Hyundai,611000,2017,51349,Petrol
102,Hyundai,475000,2014,61866,Petrol
103,Hyundai,925000,2017,29401,Petrol
104,Audi,1325000,2012,98580,Diesel
105,BMW,3900000,2021,8000,Diesel
106,Mahindra,1299000,2020,31348,Diesel
107,Maruti Suzuki,580000,2018,28851,Diesel
108,Honda,229000,2013,38175,Petrol
109,Mahindra,1575000,2021,8519,Petrol
110,Honda,375000,2011,78000,Petrol
111,Mercedes-Benz,2250000,2015,48000,Diesel
112,Toyota,1400000,2014,143000,Diesel
113,Tata,425000,2017,39000,Diesel
114,Skoda,425000,2014,24000,Petrol
115,Maruti Suzuki,250000,2015,62000,Petrol
116,Maruti Suzuki,425000,2012,78000,Diesel
117,Hyundai,120000,2009,48500,LPG
118,Ford,235000,2014,82000,Diesel
119,Audi,3050000,2020,40910,Diesel
120,Tata,2145000,2020,10290,Diesel
121,Hyundai,1245000,2021,10530,Petrol
122,Hyundai,549000,2015,61900,Petrol
123,Volkswagen,484999,2013,78000,Diesel
124,Maruti Suzuki,415000,2014,57402,Petrol
125,Hyundai,200000,2013,57000,CNG
126,Hyundai,375000,2015,87500,Petrol
127,Tata,1375000,2021,16000,Electric
128,Hyundai,1875000,2022,18000,Petrol
129,Audi,2950000,2020,10700,Petrol
130,Audi,4900000,2018,78000,Diesel
131,Hyundai,1050000,2020,16282,Petrol
132,Hyundai,470000,2013,66000,Diesel
133,Maruti Suzuki,345000,2017,72019,Petrol
134,BMW,1490000,2013,195000,Diesel
135,Mahindra,550000,2007,92170,Diesel
136,Hyundai,484999,2018,55221,Petrol
137,Toyota,3350000,2018,25000,Diesel
138,Maruti Suzuki,210000,2011,58888,Petrol
139,Audi,5651000,2022,1,Petrol
140,Renault,890000,2020,23500,Petrol
141,Maruti Suzuki,325000,2012,68000,Petrol
142,Hyundai,1390000,2019,29096,Petrol
143,Hyundai,459999,2016,61223,Petrol
144,Jeep,1075000,2017,86000,Diesel
145,Hyundai,484999,2013,87000,Diesel
146,Hyundai,385000,2013,79287,Petrol
147,Mercedes-Benz,4400000,2018,47009,Diesel
148,Audi,3900000,2018,48945,Diesel
149,Mahindra,1050000,2019,17000,Diesel
150,Kia,1575000,2019,55000,Diesel
151,Maruti Suzuki,655000,2016,38779,Petrol
152,Mercedes-Benz,4500000,2019,72000,Diesel
153,Maruti Suzuki,865000,2016,67000,Diesel
154,Hyundai,699000,2017,67000,Petrol
155,Hyundai,425000,2012,70000,Diesel
156,Land Rover,6500000,2020,6000,Diesel
157,Toyota,2900000,2017,46000,Diesel
158,Mercedes-Benz,4550000,2017,34000,Diesel
159,Hyundai,490000,2015,23103,Petrol
160,Mercedes-Benz,11500000,2016,27000,Petrol
161,Hyundai,1475000,2019,9576,Petrol
162,MG,1729000,2020,27000,Petrol
163,MG,1764999,2021,1942,Petrol
164,Honda,250000,2006,119300,Petrol
165,Maruti Suzuki,245000,2016,55000,Petrol
166,Renault,490000,2015,98000,Diesel
167,Hyundai,550000,2017,61400,Petrol
168,Honda,675000,2016,87693,Petrol
169,Mercedes-Benz,2225000,2015,31000,Petrol
170,Hyundai,560000,2016,75210,Diesel
171,Skoda,225000,2012,69000,Petrol
172,Skoda,499000,2014,88000,Diesel
173,Kia,1055000,2020,15000,Petrol
174,Mahindra,2048999,2020,45350,Diesel
175,BMW,2775000,2018,68189,Diesel
176,Mercedes-Benz,1650000,2015,75000,Diesel
177,Maruti Suzuki,350000,2013,45000,Petrol
178,Audi,1450000,2014,33000,Diesel
179,Mahindra,600000,2014,83000,Diesel
180,BMW,1250000,2012,78000,Diesel
181,Toyota,1675000,2014,211000,Diesel
182,Hyundai,575000,2015,67000,Petrol
183,Ford,699000,2017,75000,Diesel
184,Audi,2450000,2014,48600,Diesel
185,Mercedes-Benz,2775000,2016,48000,Diesel
186,Maruti Suzuki,430000,2020,5790,Petrol
187,Mahindra,1165000,2018,32000,Diesel
188,MG,1780000,2020,65433,Diesel
189,Maruti Suzuki,295000,2011,87230,Diesel
190,Maruti Suzuki,495000,2017,38258,Diesel
191,Honda,975000,2019,56881,Petrol
192,Toyota,645000,2013,76000,Diesel
193,Renault,425000,2014,72000,Diesel
194,Audi,1350000,2012,72000,Diesel
195,Mercedes-Benz,3200000,2014,60514,Diesel
196,Volvo,1250000,2013,71141,Diesel
197,BMW,5600000,2018,40937,Diesel
198,Maruti Suzuki,560000,2013,37000,Diesel
199,Mahindra,1221000,2019,46000,Diesel
200,BMW,2975000,2015,86999,Diesel
201,Honda,295000,2009,70200,Petrol
202,Mercedes-Benz,1300000,2012,64800,Petrol
203,Hyundai,950000,2016,73000,Diesel
204,Mercedes-Benz,1350000,2012,72000,Diesel
205,Mercedes-Benz,2682000,2015,76345,Diesel
206,Maruti Suzuki,286000,2017,40564,Petrol
207,Hyundai,340000,2013,98500,Diesel
208,Skoda,1125000,2020,46807,Petrol
209,Tata,580000,2018,81000,Petrol
210,Maruti Suzuki,495000,2015,13716,Petrol
211,Maruti Suzuki,550000,2014,89000,Diesel
212,Kia,1485000,2021,13000,Diesel
213,Skoda,885000,2018,38000,Petrol
214,Audi,3650000,2012,25500,Petrol
215,Hyundai,715000,2020,17000,Petrol
216,Mercedes-Benz,2485000,2012,44724,Petrol
217,Toyota,2250000,2020,24549,Diesel
218,Hyundai,1050000,2017,97000,Diesel
219,Toyota,3600000,2018,7800,Diesel
220,Honda,295000,2010,78000,Petrol
221,Renault,375000,2019,55000,Petrol
222,Audi,7200000,2021,20000,Petrol
223,Tata,2395000,2021,13594,Diesel
224,Audi,1775000,2014,75000,Diesel
225,Maruti Suzuki,275000,2011,65000,Diesel
226,Honda,325000,2014,43037,Petrol
227,Maruti Suzuki,425000,2013,26000,Diesel
228,Mahindra,1475000,2020,78000,Diesel
229,Toyota,1580000,2018,115000,Diesel
230,Honda,869000,2021,8700,Petrol
231,Mercedes-Benz,5850000,2019,31000,Diesel
232,Jeep,1900000,2020,41736,Diesel
233,Maserati,9000000,2017,40000,Diesel
234,Toyota,3550000,2020,55000,Diesel
235,Porsche,3500000,2014,160000,Petrol
236,Toyota,2425000,2022,11000,Diesel
237,BMW,5811000,2018,24690,Diesel
238,Toyota,750000,2011,117000,Diesel
239,Audi,2200000,2014,95000,Diesel
240,Maruti Suzuki,520000,2019,76000,CNG
241,Maruti Suzuki,390000,2018,18000,Petrol
242,Maruti Suzuki,540000,2015,38000,Petrol
243,Maruti Suzuki,699000,2018,43000,Diesel
244,Hyundai,484999,2013,107000,Diesel
245,Mercedes-Benz,7500000,2021,13000,Petrol
246,Mercedes-Benz,850000,2011,85000,Diesel
247,Tata,1085000,2018,8922,Petrol
248,Maruti Suzuki,319000,2013,47800,Petrol
249,Mahindra,549000,2012,143000,Diesel
250,Tata,1725000,2019,68758,Diesel
251,Honda,475000,2015,72000,Diesel
252,Tata,890000,2022,7500,Petrol
253,Maruti Suzuki,235000,2012,37000,Petrol
254,Hyundai,445000,2016,22402,Petrol
255,Honda,1060000,2019,12382,Petrol
256,Maruti Suzuki,690000,2017,61000,Diesel
257,Jaguar,4200000,2018,90868,Diesel
258,BMW,2950000,2015,84700,Diesel
259,Land Rover,12500000,2022,22010,Petrol
260,Toyota,1750000,2015,72000,Diesel
261,Renault,395000,2018,75500,Petrol
262,BMW,2790000,2018,25000,Diesel
263,Audi,2475000,2018,38000,Diesel
264,Maruti Suzuki,145000,2009,39586,Petrol
265,Hyundai,750000,2018,33647,Petrol
266,BMW,800000,2012,75576,Diesel
267,Mahindra,950000,2016,86000,Diesel
268,Hyundai,569000,2018,57847,Petrol
269,Maruti Suzuki,470000,2016,74000,Petrol
270,Porsche,5350000,2015,58000,Diesel
271,Nissan,450000,2014,85000,Diesel
272,Renault,299000,2016,26000,Petrol
273,Hyundai,1875000,2020,18000,Petrol
274,Mahindra,1825000,2022,11000,Diesel
275,Land Rover,4459000,2018,57300,Diesel
276,BMW,1195000,2010,74000,Diesel
277,Toyota,790000,2019,25000,Petrol
278,Hyundai,1095000,2017,39000,Petrol
279,Toyota,1950000,2020,45000,Diesel
280,Volkswagen,525000,2015,80852,Petrol
281,Isuzu,2100000,2018,75592,Diesel
282,Maruti Suzuki,270000,2014,54420,Petrol
283,Toyota,894999,2015,39780,Petrol
284,Hyundai,335000,2013,78301,Petrol
285,Tata,1000000,2018,38000,Diesel
286,Hyundai,220000,2009,126535,Petrol
287,Hyundai,960000,2016,37079,Petrol
288,Mercedes-Benz,7200000,2018,87200,Diesel
289,Audi,1300000,2014,51000,Diesel
290,Volkswagen,375000,2013,39000,Petrol
291,Maruti Suzuki,300000,2011,90000,Petrol
292,Jaguar,3299000,2017,29999,Diesel
293,Tata,565000,2014,100472,Diesel
294,Audi,1798999,2016,84700,Diesel
295,Maruti Suzuki,189000,2008,19759,Petrol
296,Jaguar,1875000,2014,66000,Diesel
297,Hyundai,545000,2014,56000,Petrol
298,Hyundai,1085000,2022,3383,Petrol
299,Maruti Suzuki,725000,2018,42000,Diesel
300,BMW,1090000,2012,65000,Diesel
301,Honda,900000,2019,17000,Petrol
302,BMW,3400000,2016,38000,Diesel
303,Honda,295000,2014,62500,Diesel
304,Tata,2251000,2021,30229,Diesel
305,Porsche,9300000,2019,9000,Petrol
306,Maruti Suzuki,430000,2016,26600,CNG
307,Maruti Suzuki,600000,2017,86000,Diesel
308,Hyundai,1595000,2017,86000,Petrol
309,Volkswagen,290000,2014,125000,Diesel
310,Hyundai,375000,2013,29135,Petrol
311,Volvo,1200000,2015,50965,Diesel
312,Toyota,1525000,2014,72000,Diesel
313,Mercedes-Benz,2675000,2016,28000,Petrol
314,Honda,545000,2015,42000,Petrol
315,Mercedes-Benz,7900000,2017,11850,Diesel
316,Honda,195000,2010,32000,Petrol
317,BMW,4550000,2021,24000,Diesel
318,Land Rover,2499000,2015,50623,Diesel
319,Mahindra,210000,2012,85000,Diesel
320,Hyundai,1097000,2022,1700,Diesel
321,Volkswagen,1095000,2020,43260,Petrol
322,Maruti Suzuki,325000,2015,67738,CNG
323,Mahindra,1375000,2019,69000,Diesel
324,Audi,975000,2012,93417,Diesel
325,Maruti Suzuki,745000,2021,14722,Petrol
326,Toyota,2175000,2017,29000,Diesel
327,Jeep,1250000,2017,60200,Petrol
328,Maruti Suzuki,500000,2017,140000,Diesel
329,Honda,625000,2017,23798,Petrol
330,Honda,250000,2011,55000,Petrol
331,Volkswagen,650000,2017,51000,Petrol
332,Honda,310000,2014,49000,Petrol
333,Renault,600000,2017,48000,Petrol
334,BMW,1400000,2013,121000,Diesel
335,Ford,295000,2013,74000,Diesel
336,Mahindra,484999,2012,102000,Diesel
337,BMW,4250000,2018,32000,Petrol
338,Tata,1550000,2020,48400,Electric
339,Tata,375000,2013,97000,Diesel
340,Kia,1625000,2021,16000,Petrol
341,Porsche,5350000,2016,55700,Diesel
342,BMW,4250000,2017,80000,Diesel
343,Ford,480000,2014,115000,Diesel
344,Hyundai,590000,2020,74000,Petrol
345,Hyundai,561000,2015,61000,Diesel
346,Toyota,725000,2014,104814,Petrol
347,Hyundai,645000,2013,17000,Petrol
348,Audi,1695000,2015,60000,Diesel
349,Maruti Suzuki,450000,2016,45000,Petrol
350,Mahindra,1375000,2016,75811,Diesel
351,Mahindra,1700000,2021,3813,Petrol
352,Maruti Suzuki,525000,2016,64928,Petrol
353,Maruti Suzuki,590000,2018,68500,Diesel
354,Toyota,1495000,2014,85000,Diesel
355,BMW,3300000,2017,41296,Diesel
356,Honda,385000,2013,72567,Diesel
357,Maruti Suzuki,535000,2020,4295,Petrol
358,Maruti Suzuki,875000,2018,82000,Diesel
359,Maruti Suzuki,295000,2010,33000,Petrol
360,Fiat,235000,2011,54000,Petrol
361,Hyundai,969999,2018,68000,Diesel
362,Honda,1700000,2022,8530,Petrol
363,Hyundai,1789999,2018,46000,Petrol
364,Toyota,1964999,2020,26000,Petrol
365,Audi,4000000,2014,39394,Petrol
366,Tata,484999,2018,35000,Petrol
367,Maruti Suzuki,580000,2019,17881,Petrol
368,Honda,450000,2014,48409,Petrol
369,Maruti Suzuki,355000,2020,40000,Petrol
370,Audi,2375000,2017,61643,Diesel
371,Mercedes-Benz,6500000,2020,21000,Petrol
372,Tata,1050000,2022,1500,Petrol
373,Ford,445000,2014,38985,Diesel
374,Honda,495000,2015,52000,Petrol
375,Hyundai,275000,2011,42000,Petrol
376,Honda,465000,2014,29442,Petrol
377,Jeep,1050000,2017,71800,Diesel
378,Mercedes-Benz,4900000,2022,5000,Petrol
379,Hyundai,695000,2020,18000,CNG
380,Toyota,3210000,2018,37000,Diesel
381,Honda,269000,2009,85000,Petrol
382,Hyundai,445000,2018,65555,Diesel
383,Land Rover,5950000,2021,35000,Diesel
384,BMW,3800000,2018,87000,Diesel
385,Hyundai,1000000,2018,42000,Petrol
386,Mahindra,1490000,2018,68000,Diesel
387,MG,1550000,2022,600,Petrol
388,Tata,199000,2011,192326,Diesel
389,Toyota,575000,2013,82000,Petrol
390,Toyota,484999,2017,86006,Diesel
391,Honda,425000,2014,75000,Diesel
392,Mahindra,1150000,2014,99000,Diesel
393,Skoda,3195000,2021,21651,Petrol
394,Hyundai,725000,2016,84000,Diesel
395,Mercedes-Benz,2450000,2014,65000,Diesel
396,Maruti Suzuki,741000,2017,31000,Petrol
397,Mercedes-Benz,7350000,2022,17000,Diesel
398,Mahindra,1550000,2020,28000,Diesel
399,Honda,645000,2015,64000,Diesel
400,Honda,550000,2014,85000,Diesel
401,Maruti Suzuki,595000,2017,35000,Petrol
402,Volvo,1595000,2015,44000,Diesel
403,Maruti Suzuki,500000,2017,32000,Petrol
404,Maruti Suzuki,345000,2016,49857,Petrol
405,Maruti Suzuki,299000,2013,46000,Petrol
406,Maruti Suzuki,160000,2008,50000,Petrol
407,Maruti Suzuki,570000,2017,36000,Petrol
408,Renault,800000,2021,13000,Petrol
409,Maruti Suzuki,440000,2018,40000,Petrol
410,Mercedes-Benz,509999,2007,39000,Petrol
411,Hyundai,315000,2013,45000,Petrol
412,Maruti Suzuki,227000,2011,87513,Petrol
413,Mercedes-Benz,1850000,2011,26000,Petrol
414,Maruti Suzuki,610000,2022,3800,CNG
415,Toyota,1995000,2018,35123,Diesel
416,Kia,1875000,2021,21000,Diesel
417,Hyundai,1748999,2022,2670,Petrol
418,Skoda,640000,2016,124000,Diesel
419,Hyundai,779000,2016,9889,Petrol
420,Honda,1450000,2021,13000,Petrol
421,Tata,890000,2018,35000,Petrol
422,Maruti Suzuki,625000,2017,51145,Petrol
423,Mercedes-Benz,8500000,2019,13000,Diesel
424,Audi,2900000,2011,56000,Petrol
425,Toyota,434999,2010,120000,Diesel
426,Mercedes-Benz,4550000,2018,45000,Diesel
427,Skoda,2500000,2017,82900,Diesel
428,Maruti Suzuki,249000,2014,56843,CNG + CNG
429,Ford,270000,2015,64000,Petrol
430,Maruti Suzuki,825000,2019,9644,Petrol
431,Maruti Suzuki,425000,2017,41624,Petrol
432,Hyundai,459999,2016,82844,Diesel
433,Mercedes-Benz,980000,2011,78000,Petrol
434,Renault,789000,2017,60444,Petrol
435,BMW,5100000,2022,6000,Petrol
436,Mahindra,775000,2014,125000,Diesel
437,Hyundai,1400000,2019,13000,Petrol
438,Maruti Suzuki,770000,2015,112000,Diesel
439,Maruti Suzuki,445000,2012,54948,Diesel
440,Hyundai,450000,2016,53300,Petrol
441,Honda,840000,2019,34000,Petrol
442,Mercedes-Benz,18500000,2021,21000,Petrol
443,Land Rover,4000000,2017,25500,Diesel
444,Mahindra,690000,2015,157662,Diesel
445,Mercedes-Benz,2800000,2018,20000,Diesel
446,Hyundai,525000,2018,78900,Diesel
447,Maruti Suzuki,285000,2011,52000,CNG
448,Mercedes-Benz,7780000,2022,11000,Diesel
449,Skoda,1989999,2018,103000,Diesel
450,Tata,1200000,2017,95785,Diesel
451,Ford,620000,2017,92000,Diesel
452,Jaguar,5200000,2019,43000,Diesel
453,Mercedes-Benz,1998999,2017,39328,Diesel
454,Toyota,2725000,2020,18625,Diesel
455,Maruti Suzuki,590000,2019,26000,Petrol
456,MINI,1489000,2014,81000,Diesel
457,Maruti Suzuki,685000,2018,92000,Diesel
458,Mahindra,1121000,2019,38000,Diesel
459,Tata,114999,2012,93000,Petrol
460,Maruti Suzuki,545000,2019,10340,Petrol
461,Audi,1350000,2015,47706,Diesel
462,Maruti Suzuki,1299000,2021,13400,Petrol
463,Ford,450000,2016,44613,Diesel
464,Porsche,9000000,2017,7000,Petrol
465,Maruti Suzuki,550000,2019,29000,Petrol
466,BMW,4390000,2020,23000,Diesel
467,Maruti Suzuki,445000,2015,67580,CNG
468,Hyundai,495000,2015,42000,Petrol
469,Hyundai,360000,2015,16205,Petrol
470,Maruti Suzuki,345000,2007,92000,Petrol
471,Hyundai,565000,2016,29000,Petrol
472,Mercedes-Benz,9390000,2022,14000,Diesel
473,Mahindra,615000,2017,69000,Diesel
474,Honda,525000,2015,114635,Diesel
475,BMW,2650000,2018,50000,Diesel
476,BMW,3785000,2019,29221,Diesel
477,Mercedes-Benz,1500000,2012,158000,Petrol
478,Audi,1175000,2012,77000,Diesel
479,Mercedes-Benz,6400000,2022,5500,Diesel
480,BMW,1450000,2013,70000,Diesel
481,BMW,4900000,2017,65341,Diesel
482,Honda,1390000,2022,32000,Petrol
483,Ferrari,35000000,2018,9500,Petrol
484,Volkswagen,2990000,2020,17904,Diesel
485,Land Rover,2150000,2012,95000,Diesel
486,Maruti Suzuki,315000,2013,72000,CNG
487,Maruti Suzuki,71001,2004,65082,Petrol
488,Honda,295000,2012,66240,Petrol
489,Mercedes-Benz,8500000,2018,25275,Petrol
490,Maruti Suzuki,400000,2016,67850,CNG
491,Tata,49000,2010,60000,Petrol
492,Mahindra,379000,2012,88500,Diesel
493,Maruti Suzuki,610000,2017,105000,Diesel
494,Hyundai,1075000,2019,45000,Petrol
495,Mercedes-Benz,7500000,2021,8000,Diesel
496,Toyota,1321000,2018,38000,Petrol
497,Maruti Suzuki,950000,2020,55055,Diesel
498,Maruti Suzuki,825000,2021,22000,Petrol
499,Mitsubishi,1300000,2013,95000,Diesel
500,Maruti Suzuki,465000,2014,25704,Petrol
501,Maruti Suzuki,475000,2016,55353,Diesel
502,Audi,1775000,2015,80000,Diesel
503,Volkswagen,825000,2018,62000,Petrol
504,Ford,3450000,2019,41526,Diesel
505,Tata,379000,2018,29434,Petrol
506,Datsun,240000,2017,42000,Petrol
507,Kia,1525000,2021,14000,Petrol
508,BMW,1400000,2014,35000,Diesel
509,Mercedes-Benz,1044999,2012,75000,Diesel
510,Lamborghini,24000000,2016,6000,Petrol
511,Mercedes-Benz,2450000,2018,61000,Diesel
512,Mercedes-Benz,1789999,2015,45000,Diesel
513,Mercedes-Benz,4275000,2019,31000,Diesel
514,Hyundai,775000,2020,39000,Petrol
515,Maruti Suzuki,229999,2012,52000,Petrol
516,Maruti Suzuki,280000,2011,54000,CNG
517,Hyundai,300000,2018,51000,Petrol
518,Maruti Suzuki,160000,2011,72000,Petrol
519,Maruti Suzuki,150000,2011,65000,Petrol
520,Mercedes-Benz,8300000,2020,50000,Diesel
521,Audi,1685000,2016,80251,Diesel
522,Hyundai,270000,2010,86000,Petrol
